name,price,originalPrice,brandName,image,itemUrl
Seasame Oil 500 ml,210,No Original Price,No Brand,https://static-01.daraz.com.np/p/ff8b9b6c558de12c4a6b007ac21bc7a4.jpg,https://www.daraz.com.np/products/seasame-oil-500-ml-i104456114.html
Bhumi Nepal Almond Oil - 100 ml,700,No Original Price,No Brand,https://static-01.daraz.com.np/p/bf9cf4b241bbccc064a0a02d2f6c0215.jpg,https://www.daraz.com.np/products/bhumi-nepal-almond-oil-100-ml-i105711069.html
Lite House Rice Bran Oil 2L,949,967,No Brand,https://static-01.daraz.com.np/p/15bd210f3ee45710178b688b3f1dbea7.jpg,https://www.daraz.com.np/products/lite-house-rice-bran-oil-2l-i103258919.html
Byanjan Mustard Oil Bottle 1 ltr,395,410,Divine Flooring,https://static-01.daraz.com.np/p/8a3f22bf7c015eab36e1d0046b91267c.jpg,https://www.daraz.com.np/products/byanjan-mustard-oil-bottle-1-ltr-i127801817.html
Desi Grub Castor Oil 60ml | Cold-Pressed, Natural Laxative, Skincare, and Hair Growth Solution,390,No Original Price,,https://static-01.daraz.com.np/p/8764b42d3ae3ebd1a7bd6d64b64392d8.jpg,https://www.daraz.com.np/products/desi-grub-castor-oil-60ml-cold-pressed-natural-laxative-skincare-and-hair-growth-solution-i139363900.html
Nagaji Brand Physically Refined Rice Bran Oil-1L,320,No Original Price,No Brand,https://static-01.daraz.com.np/p/574f84b3b57fb6b3dcc6b691ef9057cd.jpg,https://www.daraz.com.np/products/nagaji-brand-physically-refined-rice-bran-oil-1l-i114880483.html
Khoji Mustard Oil 5Ltr,1900,No Original Price,No Brand,https://static-01.daraz.com.np/p/b98deded89d5608c6ec94aa4538f7fe0.jpg,https://www.daraz.com.np/products/khoji-mustard-oil-5ltr-i116074516.html
Lite House Rice Bran Oil 2L,999,1050,No Brand,https://static-01.daraz.com.np/p/9ebee28294ac6a450cbff33e2f9925c3.jpg,https://www.daraz.com.np/products/lite-house-rice-bran-oil-2l-i121599740.html
Patanjali Indian Sarso Mustard Oil 1 ltr,420,No Original Price,No Brand,https://static-01.daraz.com.np/p/d62fcaf14527cc62727061819856ec84.jpg,https://www.daraz.com.np/products/patanjali-indian-sarso-mustard-oil-1-ltr-i123268494.html
Dhara Kacchi Ghani Mustard Oil Pouch, 1 L,380,No Original Price,No Brand,https://static-01.daraz.com.np/p/6cf6f463c95fa48c7f71866cf306e3e5.jpg,https://www.daraz.com.np/products/dhara-kacchi-ghani-mustard-oil-pouch-1-l-i120777857.html
Sesame Oil  - 600 Gm,1200,No Original Price,No Brand,https://static-01.daraz.com.np/p/71cc7e4a0556f6377d5914ff186a43cd.jpg,https://www.daraz.com.np/products/sesame-oil-600-gm-i103181251.html
Roasted Mustard Oil From Khokana (1 ltr.),425,No Original Price,No Brand,https://static-01.daraz.com.np/p/9d4918e949f00af6a265e3df4b936ba0.jpg,https://www.daraz.com.np/products/roasted-mustard-oil-from-khokana-1-ltr-i110136176.html
Best Quality Roasted Mustard Oil Khokana ko Bhuteko Tori Tel 1L,375,No Original Price,No Brand,https://static-01.daraz.com.np/p/959479136e52e6971602c96c56680261.jpg,https://www.daraz.com.np/products/best-quality-roasted-mustard-oil-khokana-ko-bhuteko-tori-tel-1l-i133561781.html
Dhara Mustard (Tori) Oil, 1ltr- Pack of 10 (1Box),3620,No Original Price,No Brand,https://np-live-21.slatic.net/kf/S8aa36c990fa34b9e8ed20c57cca323aeq.jpg,https://www.daraz.com.np/products/dhara-mustard-tori-oil-1ltr-pack-of-10-1box-i131985925.html
Khokana Taypu (Bhuteko Tori Tel ) Mustard Oil 5L Jar,1800,No Original Price,No Brand,https://static-01.daraz.com.np/p/3802b21bd6772be945cfd193fddc234f.jpg,https://www.daraz.com.np/products/khokana-taypu-bhuteko-tori-tel-mustard-oil-5l-jar-i133455246.html
